Rank,Top Year Ids,"May, 2014","June, 2014","July, 2014","August, 2014",2014 Week: 25,2014 Week: 26,2014 Week: 27,2014 Week: 28,2014 Week: 29,2014 Week: 30,2014 Week: 31
100,79,53,472,706,277,577,745,201,138,767,707
101,887,780,27,19,100,24,402,3,75,329,39
102,85,547,261,362,503,429,223,401,773,193,111
103,519,49,377,304,41,732,455,198,465,592,101
104,913,55,551,47,303,474,49,308,136,240,249
105,843,588,20,701,326,600,753,370,568,440,471
106,1031,474,479,7,327,605,459,407,1,2,805
107,588,43,485,421,113,501,318,227,438,322,330
108,1048,8,520,791,280,754,109,805,301,765,312
109,42,150,122,274,242,333,27,535,313,332,331
110,244,147,226,203,618,567,289,31,752,196,764
111,558,41,555,490,784,191,178,224,397,458,796
112,102,285,737,9,728,641,676,4,3,781,148
113,543,324,723,61,306,312,276,159,461,20,198
114,1008,445,37,18,74,49,718,11,15,696,728
115,638,50,200,255,175,318,438,346,286,211,171
116,681,6,605,702,529,691,612,697,315,641,742
117,1082,122,154,588,42,75,278,568,44,800,59
118,1012,15,237,773,708,657,644,634,320,751,786
119,686,248,169,290,564,298,523,372,206,269,152
120,80,58,427,529,293,79,592,661,93,429,246
121,369,241,12,170,614,96,711,19,387,330,575
122,503,444,49,228,483,514,172,545,561,291,77
123,8,106,554,261,276,165,127,434,716,350,82
124,1047,693,19,59,776,376,1,687,441,703,643
125,451,729,491,349,457,144,452,368,555,65,718
126,1084,92,191,797,98,742,605,740,790,783,26
127,980,580,6,173,61,1,634,82,352,389,95
128,277,125,458,716,287,300,733,573,456,559,373
129,494,18,489,370,140,623,229,336,91,217,750
130,792,191,355,524,593,378,346,476,560,657,184
131,964,67,150,340,17,756,436,551,50,517,99
132,774,213,275,43,458,674,41,549,82,69,777
133,565,575,61,17,615,17,2,27,678,413,793
134,69,654,197,136,195,128,576,30,622,150,150
135,921,235,735,350,536,407,441,40,472,733,404
136,75,273,423,45,790,671,43,119,262,636,60
137,974,317,106,610,125,60,67,628,417,732,369
138,674,353,528,99,698,444,61,214,293,716,89
139,301,457,445,121,741,265,574,6,144,780,463
140,877,336,314,81,9,735,728,714,8,83,80
141,1059,515,35,248,573,184,87,470,57,103,535
142,291,185,158,437,703,196,352,622,119,91,712
143,248,129,308,335,462,166,183,662,381,214,556
144,985,734,217,22,764,127,162,89,9,530,727
145,932,759,661,63,83,572,104,219,551,105,57
146,187,75,174,259,507,92,251,562,258,127,439
147,685,196,232,384,149,392,491,382,259,300,413
148,630,72,613,378,135,182,234,185,265,648,387
149,1118,669,193,210,256,110,538,116,660,135,501
150,145,459,88,502,780,201,759,93,518,729,701
151,1081,93,436,281,683,699,725,103,661,155,581
152,645,754,89,97,124,697,236,546,20,242,538
153,324,54,214,678,596,632,348,493,662,745,748
154,981,728,152,165,245,179,293,209,468,209,436
155,454,109,310,205,110,769,754,162,215,116,27
156,155,180,557,368,219,493,267,254,347,493,432
157,467,242,692,11,28,63,755,228,279,13,2
158,773,104,90,750,742,413,705,417,587,724,743
159,95,385,409,431,304,120,448,466,322,615,119
160,996,680,79,412,286,360,131,776,191,246,103
161,898,653,139,365,799,21,611,264,351,49,700
162,556,315,54,551,79,745,665,682,101,122,346
163,739,156,123,373,32,414,55,485,210,620,231
164,33,552,24,394,24,112,423,427,478,26,167
165,465,146,263,247,725,365,598,532,33,700,696
166,318,462,36,689,383,139,14,750,455,82,629
