Rank,Top Stocks,Profit %,2014 Week: 30 rank,Profit %,2014 Week: 29 rank,Profit %,2014 Week: 28 rank,Profit %,2014 Week: 27 rank,Profit %,2014 Week: 26 rank,Profit %,2014 Week: 25 rank,Profit %,"August, 2014 rank",Profit %,"July, 2014 rank",Profit %,"June, 2014 rank",Profit %,"May, 2014 rank",Profit %,Year: 2014 rank,Profit %
94,BLUESTINFO,3.97059,176,0.952092,609,-5.2661,154,9.65431,547,-12.5203,62,15.2229,16,21.1628,67,6.15616,129,8.67313,684,0.723688,294,20.079,251,57.8125
95,DATAMATICS,3.92857,391,-1.85022,714,-7.78342,96,12.2723,623,-14.1674,614,-0.0833321,557,-0.417014,119,3.92857,549,-8.48142,203,20.1,637,2.36139,175,74.5128
96,MCX,3.92572,692,-6.44058,33,11.0533,54,15.0863,34,2.81924,133,9.87685,653,-2.17216,260,0.465839,24,31.0697,334,13.9981,661,0.674038,203,67.8427
97,FSL,3.87183,314,-1.06382,641,-6.04534,164,9.30555,352,-7.87801,717,-2.25282,569,-0.623441,182,2.09975,506,-7.11701,104,29.2913,698,-2.30769,173,74.8315
98,INFY,3.80477,239,-0.110611,148,2.98617,742,-1.91403,43,1.88821,551,0.805899,658,-2.32122,116,3.9597,220,3.77966,452,9.96622,755,-7.71115,705,-0.267758
99,WOCKPHARMA,3.76348,552,-3.63479,7,27.4188,536,2.64378,337,-7.56438,201,7.52829,496,0.3247,108,4.26756,66,16.5366,747,-3.73129,796,-23.5925,271,53.6454
100,TEXRAIL,3.74302,308,-0.954527,761,-10.1449,300,6.50538,801,-30.2652,108,11.342,751,-5.04098,81,5.51136,786,-26.8172,518,7.80969,8,71.7188,84,112.471
101,RAINBOWPAP,3.73281,773,-10.2579,402,-2.08333,734,-1.68604,233,-5.5,185,7.9394,501,0.302297,134,3.52941,555,-8.6747,632,3.42679,481,11.7275,656,5.6
102,SABTN,3.72295,123,1.92982,699,-7.43903,311,6.35514,59,0.709555,314,4.94012,575,-0.744787,207,1.52543,63,16.9643,772,-6.87733,167,29.4899,241,59.9466
103,BINDALAGRO,3.70968,709,-6.82853,715,-7.8125,172,9.0625,794,-21.4988,312,4.98688,593,-1.03226,250,0.62598,725,-16.8381,144,25.0404,456,12.7306,441,32.0329
104,OMKARCHEM,3.70915,297,-0.766974,277,-0.0729972,578,1.89098,152,-3.54504,378,3.66141,477,0.600962,99,4.59259,242,2.88425,725,-1.65385,629,2.89738,549,20.4264
105,PRISMCEM,3.61111,43,6.5967,218,1.07991,659,0.688705,131,-2.87921,712,-2.12201,154,6.92857,89,5.07042,489,-6.43274,139,25.6667,201,26.1702,32,168.829
